nombre git,nombre,encabezado,name,tipo,estado,autor,tags,notas de forma,notas de contenido,videos,video comp 1,video comp 2,Columna 1,Columna 2
insp-are-you-tinkerer,"¿Tus papás, abuelos/as o amigos te llaman para que les ayudes a resolver algo con el computador?",,,Inspiración,Por hacer,,"Vamos a romper, Te ha pasado",,,,,,,
insp-big-questions,Todo comienza con una Gran Pregunta ,,It all starts with a Big Question,Inspiración,Modificar,,De Voltaje a SOLE,,Ajustar porque en Markdown las personas no van a poder publicar su gran pregunta. Serviría tener la fotico de grandes preguntas,https://www.youtube.com/embed/AAWEB6Vr50g,,,,
insp-build-dyi-antenna3g,Nos animamos a construir nuestra propia antena 3G ,,,Inspiración,Eliminar,,,,Este video debe ir en la solución,,,,,
insp-build-memory-solelab,¿Cómo construir memoria un SOLE Lab? ,,,Inspiración,Modificar,,Metodologías,,Hay que darle un poco más de estructura y narrativa para que sea comprensible por cualquiera,,,,,
insp-convince-sharing-internet,¿Crees que podrías convencer a tus vecinos de quitar su contraseña?,,,Inspiración,Por hacer,,Preguntas incómodas,,,,,,,
insp-data-for-dollar,¿Cuántos Gb al mes te da tu compañía telefónica por $1US?,,,Inspiración,Por hacer,,Preguntas incómodas,,,,,,,
insp-data-usage,¿Cuántas Gb de internet crees que consumes al mes?,,,Inspiración,Por hacer,,Preguntas incómodas,,,,,,,
insp-fish-game,"Recursos para uno, recursos para todos.",,We learned to play to reflect on the use of common goods,Inspiración,Publicado,Manuela,"Metodologías, De Voltaje a SOLE",,,https://www.youtube.com/embed/-Rg8bLTbS1Y,,,,
insp-free-internet-for-all,¿Crees que el acceso a internet debería ser libre y gratuito para todos?,,,Inspiración,Por hacer,,Preguntas incómodas,,,,,,,
insp-frequency-replacing-phone,¿Cada cuánto cambias tu celular?,,,Inspiración,Por hacer,,"Preguntas incómodas, Sobre el internet, Vamos a romper",,,,,,,
insp-granny-cloud,¿Cómo cambiar el mundo desde tu casa? Conoce la Nube de abuelitas,,La Nube de Abuelitas: how to change the world from your home,Inspiración,Ampliar,Belén,De Voltaje a SOLE,,Funcionaría incluir algún videíto o algo parecido. Falta que el contenido sea más explícito en torno a cómo siendo una abuelita cambia uno el mundo,,,,,
insp-granny-no-connection,La Nube de Abuelitas: ¿qué pasa cuando no hay conexión?,,La Nube de Abuelitas: what happens when there is no Internet connection,Inspiración,Publicado,Belén,De Voltaje a SOLE,,,,,,,
insp-granny-questions,Preguntas y respuestas sobre la experiencia de ser una Abuelita ,,Questions and answers of the Abuelita experience,Inspiración,Publicado,,De Voltaje a SOLE,,Se podría seguir ampliando,,,,,
insp-hilando-vidas-OIM,SOLE + Hilando Vidas y Esperanza 2022,,,Inspiración,Modificar,,Historias potentes,,"Ajustar para que tenga un tono más inspirador: ""si otros lo han hecho, ¿qué tal tú?""",https://www.youtube.com/embed/fTIvEZpeTy4,,,,
insp-how-internet-travels,¿Te has preguntado cómo llega el Internet la luz o la señal móvil a ti?,,,Inspiración,Publicado,,"Curiosidades, Preguntas incómodas, Sobre el internet",,Sobre obsolescencia programada y responsabilidad de consumo,,,,,
insp-how-internet-works,¿Cómo funciona el Internet? ,,How does the Internet work?,Inspiración,Publicado,Sanjay,Sobre el internet,Agregué “-” entre palabras,,,,,,
insp-imagine-collective-futures,¿Cómo imaginar futuros en comunidad? ,,,Inspiración,Modificar,,Metodologías,,Ajustar para que cualquier la entienda (narrativa) + conectar con soluciones concretas o algo parecido,,,,,
insp-internet-ate-homework,¿El internet o tu perro han dañado tu tarea?,,,Inspiración,Por hacer,,Preguntas incómodas,,Sobre responsabilidad en el mundo digital (ej. te envié el correo pero nunca te llegó),,,,,
insp-internet-in-a-box,Nos conectamos a internet con una caja.,,We amplify our Internet and that of many communities through a box,Inspiración,Publicado,Manuela,"Historias potentes, De Voltaje a SOLE, Curiosidades",,,https://www.youtube.com/embed/Fox3N4QHVN4,,,,
insp-internet-in-group,¿Cuándo fue la última vez que usaste el Internet en grupo? ,,When was the last time you used the Internet in a group?,Inspiración,Publicado,Sanjay,Preguntas incómodas,,,,,,,
